iter	Logloss
0	0.6921190601
1	0.6900595267
2	0.689026264
3	0.6876431808
4	0.6865012007
5	0.6852856924
6	0.6836819642
7	0.6818589552
8	0.680582194
9	0.6793605589
10	0.6781542364
11	0.6772718446
12	0.6763197915
13	0.6749772347
14	0.6739338669
15	0.6725684162
16	0.6714401497
17	0.6701788772
18	0.6685680465
19	0.6674909845
20	0.6666298376
21	0.6651403341
22	0.663936892
23	0.6627547931
24	0.6618601791
25	0.6607260945
26	0.6597399469
27	0.6590771143
28	0.657902068
29	0.6569023113
30	0.6558782412
31	0.6549834386
32	0.6541594976
33	0.6533729273
34	0.6524124949
35	0.6513450572
36	0.650545668
37	0.649648107
38	0.6485370901
39	0.6476525848
40	0.6467538003
41	0.6460814175
42	0.6451134631
43	0.6440714939
44	0.6435380261
45	0.6428185962
46	0.6419112848
47	0.6414315151
48	0.6404312646
49	0.6397274164
50	0.6386001301
51	0.6375325656
52	0.636782622
53	0.6359078489
54	0.6352213652
55	0.6343271293
56	0.6334720444
57	0.6328706959
58	0.6318277501
59	0.6309986793
60	0.6299548025
61	0.6290022095
62	0.6281050353
63	0.6275378786
64	0.6264851204
65	0.6260201146
66	0.6252857166
67	0.6243796714
68	0.6235414539
69	0.6220533435
70	0.6215208302
71	0.6208880169
72	0.6202390477
73	0.6193372821
74	0.6187228537
75	0.6176633392
76	0.6167000689
77	0.6159447603
78	0.6152019066
79	0.6142722565
80	0.6134639246
81	0.6126545126
82	0.6120772523
83	0.610955961
84	0.610159977
85	0.6092919487
86	0.6083420672
87	0.6075922174
88	0.6067046553
89	0.606146263
90	0.6055303002
91	0.6048608519
92	0.6041120245
93	0.6035134906
94	0.6023958979
95	0.601435367
96	0.6007148903
97	0.6000704056
98	0.5991396088
99	0.5979886247
100	0.5975876262
101	0.5967333594
102	0.596464004
103	0.5958014564
104	0.5946696789
105	0.5938007846
106	0.5932399648
107	0.592254304
108	0.5918201906
109	0.5908766277
110	0.5900511655
111	0.5892681833
112	0.5886352233
113	0.5878214802
114	0.5871976214
115	0.5864618846
116	0.5858927119
117	0.5851153199
118	0.5843523523
119	0.5835688303
120	0.5827199147
121	0.5821711798
122	0.5815454602
123	0.5807995851
124	0.5800292909
125	0.5794769975
126	0.5790591119
127	0.5784824215
128	0.5779703503
129	0.577357406
130	0.5769192539
131	0.5759909346
132	0.575091961
133	0.5742220013
134	0.5735891901
135	0.5730368526
136	0.5725833469
137	0.5720388359
138	0.5713372383
139	0.5709475352
140	0.5703355924
141	0.5697662308
142	0.569271178
143	0.5684479916
144	0.5679368519
145	0.5672544241
146	0.5667287077
147	0.5660351021
148	0.5655283088
149	0.5648465471
150	0.5645522443
151	0.563970025
152	0.5631099592
153	0.5623962738
154	0.5618301604
155	0.5610896493
156	0.5605614602
157	0.5599219869
158	0.5593898909
159	0.5588874307
160	0.558068182
161	0.5575377036
162	0.5571086376
163	0.5566377277
164	0.5559246117
165	0.5553039396
166	0.5548334316
167	0.5541622283
168	0.5538309185
169	0.5533291608
170	0.5528773452
171	0.5521276952
172	0.5515188055
173	0.5509193666
174	0.5505436731
175	0.5496632423
176	0.5488943984
177	0.5483415289
178	0.5476744747
179	0.5470648528
180	0.5463414734
181	0.5457137372
182	0.5452467933
183	0.5443162472
184	0.5437317767
185	0.5432171459
186	0.5427595411
187	0.5421539025
188	0.5416297242
189	0.5411961142
190	0.540411123
191	0.5397584869
192	0.5390736442
193	0.5384499895
194	0.5380332074
195	0.5373523173
196	0.5365715952
197	0.5358452704
198	0.5350518803
199	0.5345683582
200	0.5340148251
201	0.5335182159
202	0.5328050888
203	0.5321565454
204	0.5316694229
205	0.5310159438
206	0.5304231143
207	0.5298831597
208	0.5293811678
209	0.5288387409
210	0.5283402396
211	0.528060427
212	0.5275591854
213	0.5265208141
214	0.5260104987
215	0.5254368884
216	0.5251746883
217	0.5247471707
218	0.5241128365
219	0.5234847019
220	0.5228382241
221	0.5223017441
222	0.5216374813
223	0.5210672059
224	0.5203509116
225	0.5198490882
226	0.5193907874
227	0.5188906868
228	0.5183428311
229	0.51781877
230	0.5172604845
231	0.5165773535
232	0.5160250805
233	0.5151477559
234	0.5147114546
235	0.5143054182
236	0.5136174186
237	0.5129818579
238	0.5122440037
239	0.5118745677
240	0.5113744739
241	0.5107116452
242	0.5101733578
243	0.5097185262
244	0.509146564
245	0.5086752348
246	0.5082800874
247	0.5076622175
248	0.5069153689
249	0.5061071783
250	0.5053856865
251	0.5048515105
252	0.5043591817
253	0.5037766136
254	0.5031842842
255	0.502383619
256	0.5016660764
257	0.5009391443
258	0.5002944828
259	0.4998109302
260	0.4992408974
261	0.4983979967
262	0.497814313
263	0.497200568
264	0.4964251082
265	0.4957689137
266	0.4951848634
267	0.4943288551
268	0.4937484569
269	0.4929208323
270	0.4920806404
271	0.4914484911
272	0.4906149116
273	0.4897363339
274	0.4891002895
275	0.4881767031
276	0.4875478346
277	0.4869841179
278	0.4862302164
279	0.485586078
280	0.4843838886
281	0.4836758321
282	0.4828858927
283	0.4822325152
284	0.4813953902
285	0.4805077536
286	0.4796425152
287	0.4789026959
288	0.4780663167
289	0.477171224
290	0.4765225804
291	0.4759176281
292	0.4748105061
293	0.4741771559
294	0.4731779995
295	0.4726017143
296	0.4719563722
297	0.4711192729
298	0.4703274538
299	0.4696487689
300	0.468961038
301	0.4682840237
302	0.4674191913
303	0.4666493712
304	0.4660883045
305	0.4651953805
306	0.4645931454
307	0.4635434516
308	0.4626362153
309	0.4620745788
310	0.4613110024
311	0.4606949095
312	0.4598193125
313	0.4590507585
314	0.4582683444
315	0.4575575663
316	0.4568300353
317	0.4560030493
318	0.4551408814
319	0.4541609591
320	0.453126651
321	0.4526575981
322	0.4516842569
323	0.4509710688
324	0.4503435058
325	0.4496811324
326	0.4487887584
327	0.4476852586
328	0.4469784668
329	0.4463947798
330	0.4457908113
331	0.4448826334
332	0.4440081177
333	0.4431820791
334	0.4422661684
335	0.4414302075
336	0.4407126289
337	0.4399180676
338	0.4393068949
339	0.4384640607
340	0.4378526072
341	0.4369613645
342	0.4362029374
343	0.4355287608
344	0.4346402969
345	0.4337159487
346	0.4328706011
347	0.4320600824
348	0.4313666919
349	0.4304791201
350	0.4295604618
351	0.4289505022
352	0.4280775766
353	0.4271684494
354	0.4260417047
355	0.4253436059
356	0.4244623278
357	0.4233980785
358	0.4227031117
359	0.4219451424
360	0.4208929122
361	0.4200944987
362	0.4193703634
363	0.4184747863
364	0.41769435
365	0.4169504856
366	0.4160468383
367	0.4152209219
368	0.4143955798
369	0.41371975
370	0.4130249806
371	0.4122145151
372	0.4114582913
373	0.4107515519
374	0.4099168937
375	0.4090432214
376	0.408444603
377	0.4076767039
378	0.407062063
379	0.4061332922
380	0.4052712763
381	0.4046491131
382	0.4039147189
383	0.403177423
384	0.4023948559
385	0.4017995049
386	0.401094342
387	0.400236223
388	0.3995865664
389	0.3987951361
390	0.3982097618
391	0.3976009285
392	0.3967792427
393	0.3960580871
394	0.3952992422
395	0.3946099576
396	0.3940550493
397	0.3933917427
398	0.3926813624
399	0.3919490424
400	0.3913156218
401	0.3905920835
402	0.3895758176
403	0.388619925
404	0.3879548321
405	0.3870379101
406	0.3863616622
407	0.3856609631
408	0.3850423264
409	0.3843009163
410	0.3834407778
411	0.3825787315
412	0.3818352603
413	0.3808613568
414	0.3802530711
415	0.3795775815
416	0.3786676308
417	0.3779366283
418	0.377389401
419	0.376653705
420	0.375939956
421	0.3752284353
422	0.3746333767
423	0.3740832988
424	0.3734101066
425	0.3725305366
426	0.3717838527
427	0.3712640937
428	0.3706010783
429	0.3700852442
430	0.3694000147
431	0.3687505449
432	0.3681250479
433	0.3675513842
434	0.3667635687
435	0.3661989117
436	0.3654670131
437	0.3647758717
438	0.3641146708
439	0.3634859408
440	0.3626186098
441	0.3620110025
442	0.361414249
443	0.3608188175
444	0.3602528923
445	0.3593929416
446	0.3586094479
447	0.3578535015
448	0.3572972419
449	0.356517894
450	0.3557909245
451	0.3551213742
452	0.3542908581
453	0.3537115188
454	0.3532844697
455	0.3527750335
456	0.3520411871
457	0.3515079002
458	0.3509721057
459	0.3502226066
460	0.3494919863
461	0.3489056311
462	0.3484566496
463	0.3478220767
464	0.3471759083
465	0.3464688217
466	0.3458163316
467	0.3452469899
468	0.3447248391
469	0.3441227383
470	0.3434466454
471	0.3428218557
472	0.3422895621
473	0.3414499932
474	0.3408180635
475	0.3401871995
476	0.3397252523
477	0.3391800968
478	0.338604305
479	0.3378971764
480	0.3371953804
481	0.3366509137
482	0.3361154504
483	0.3353730013
484	0.3348473188
485	0.3343476214
486	0.3337945814
487	0.3331737108
488	0.3325563721
489	0.3318719577
490	0.3312126591
491	0.3306889426
492	0.330153317
493	0.3296011589
494	0.329059515
495	0.3286067823
496	0.3280883972
497	0.327626999
498	0.3269641034
499	0.326395022
